,ID,Label
201,C60.81,NGEN
202,C60.83,NGEN
203,C60.84,NGEN
204,C60.85,NGEN
205,C60.86,NGEN
206,C60.87,NGEN
207,C60.88,NGEN
208,C60.89,NGEN
209,C60.90,NGEN
210,C60.92,NGEN
211,C60.93,NGEN
212,C60.94,NGEN
213,C60.95,GEN
214,C60.96,NGEN
215,C60.97,NGEN
216,C60.98,GEN
217,C60.99,GEN
218,C60.100,NGEN
219,C60.101,NGEN
220,C60.103,NGEN
221,C60.104,NGEN
222,C60.105,NGEN
223,C60.106,NGEN
224,C60.107,NGEN
225,C60.108,NGEN
226,C60.113,NGEN
227,C60.114,NGEN
228,C60.115,NGEN
229,C60.116,NGEN
230,C60.119,NGEN
231,C60.120,NGEN
232,C60.121,NGEN
233,C60.122,NGEN
234,C60.123,NGEN
235,C60.124,NGEN
236,C60.125,NGEN
237,C60.126,NGEN
238,C60.128,GEN
239,C60.129,GEN
240,C60.130,NGEN
241,C60.131,NGEN
242,C60.132,NGEN
243,C60.133,GEN
244,C60.135,NGEN
245,C60.138,NGEN
246,C60.140,NGEN
247,C60.141,NGEN
248,C60.143,NGEN
249,C60.144,NGEN
250,C60.146,NGEN
251,C60.147,GEN
252,C60.148,NGEN
253,C60.149,NGEN
254,C60.150,NGEN
255,C60.151,NGEN
256,C60.152,NGEN
257,C60.153,NGEN
258,C60.156,NGEN
259,C60.157,NGEN
260,C60.158,NGEN
261,C60.162,NGEN
262,C60.163,NGEN
263,C60.164,NGEN
264,C60.165,GEN
265,C60.166,NGEN
266,C60.168,NGEN
267,C60.169,GEN
268,C60.170,NGEN
269,C60.172,NGEN
270,C60.173,GEN
271,C60.174,NGEN
272,C60.176,NGEN
273,C60.179,NGEN
274,C60.181,NGEN
275,C60.182,NGEN
276,C60.183,NGEN
277,C60.185,NGEN
278,C60.186,NGEN
279,C60.187,NGEN
280,C60.188,NGEN
281,C60.189,NGEN
282,C60.190,NGEN
283,C60.191,NGEN
284,C60.192,NGEN
285,C60.194,NGEN
286,C60.196,NGEN
287,C60.198,NGEN
288,C60.199,NGEN
289,C60.200,NGEN
290,C60.201,GEN
291,C60.202,NGEN
292,C60.203,NGEN
293,C60.204,NGEN
294,C60.205,NGEN
295,C60.208,NGEN
296,C60.211,NGEN
297,C60.212,NGEN
298,C60.214,NGEN
299,C60.215,NGEN
300,C60.216,NGEN
301,C60.217,NGEN
302,C60.219,NGEN
303,C60.222,NGEN
304,C60.223,NGEN
305,C60.225,NGEN
306,C60.226,NGEN
307,C60.228,NGEN
308,C60.229,NGEN
309,C60.230,NGEN
310,C60.231,GEN
311,C60.232,NGEN
312,C60.233,NGEN
313,C60.234,NGEN
314,C60.236,NGEN
315,C60.237,NGEN
316,C60.238,NGEN
317,C60.239,NGEN
318,C60.241,NGEN
319,C60.243,NGEN
320,C60.245,NGEN
321,C60.246,NGEN
322,C60.247,NGEN
323,C60.249,NGEN
324,C60.250,NGEN
325,C60.251,NGEN
326,C60.252,NGEN
327,C60.253,NGEN
328,C60.254,NGEN
329,C60.255,NGEN
330,C60.256,NGEN
331,C60.259,NGEN
332,C60.260,NGEN
333,C60.261,NGEN
334,C60.262,NGEN
335,C60.264,NGEN
336,C60.265,GEN
337,C60.268,NGEN
338,C60.269,NGEN
339,C60.271,NGEN
340,C60.272,NGEN
341,C60.273,NGEN
342,C60.274,NGEN
343,C60.275,NGEN
344,C60.276,NGEN
345,C60.277,NGEN
346,C60.278,NGEN
347,C60.280,NGEN
348,C60.281,NGEN
349,C60.282,NGEN
350,C60.283,NGEN
351,C60.284,NGEN
352,C60.288,NGEN
353,C60.289,NGEN
354,C60.289.1,NGEN
355,C60.290,NGEN
356,C60.291,NGEN
357,C60.292,NGEN
358,C60.293,NGEN
359,C60.294,GEN
360,C60.295,NGEN
361,C60.295.1,NGEN
362,C60.297,NGEN
363,C60.301,NGEN
364,C60.302,NGEN
365,C60.303,NGEN
366,C60.304,NGEN
367,C60.306,NGEN
368,C60.307,NGEN
369,C60.308,NGEN
370,C60.309,NGEN
371,C60.310,NGEN
372,C60.311,NGEN
373,C60.312,NGEN
374,C60.313,NGEN
375,C60.315,NGEN
376,C60.316,NGEN
377,C60.317,NGEN
378,C60.318,NGEN
379,C60.319,NGEN
380,C60.323,NGEN
381,C60.324,NGEN
382,C60.327,NGEN
383,C60.328,NGEN
384,C60.329,NGEN
385,C60.330,GEN
386,C60.332,NGEN
387,C60.334,NGEN
388,C60.336,NGEN
389,C60.337,NGEN
390,C60.338,NGEN
391,C60.340,NGEN
392,C60.341,GEN
393,C60.349,NGEN
394,C60.351,NGEN
395,C60.353,NGEN
396,C60.354,NGEN
397,C60.362,GEN
398,C60.366,NGEN
399,C60.368,NGEN
400,C60.369,NGEN
401,C60.378,NGEN
402,C60.383,NGEN
403,C60.400,NGEN
404,C60.403,NGEN
405,C60.404,NGEN
406,C60.410,NGEN
407,C60.413,NGEN
408,C60.424,GEN
409,C60.425,NGEN
410,C60.432,NGEN
411,C60.435,NGEN
412,C60.448,NGEN
413,C60.455,GEN
414,C60.456,GEN
415,C60.457,NGEN
416,C60.461,NGEN
417,C60.464,NGEN
418,C60.468,GEN
419,C60.469,GEN
420,C60.473,NGEN
421,C60.473.1,NGEN
422,C60.479,GEN
423,C60.484,NGEN
424,C60.491,NGEN
425,C60.495,NGEN
426,C60.495.1,NGEN
427,C60.502,NGEN
428,C60.503,NGEN
429,C60.509,GEN
430,C60.510,NGEN
431,C60.520,NGEN
432,C60.525,GEN
433,C60.527,GEN
434,C60.533,GEN
435,C60.535,NGEN
436,C60.537,NGEN
437,C60.546,NGEN
438,C60.552,NGEN
439,C60.560,NGEN
440,C60.566,NGEN
441,C60.569,NGEN
442,C60.571,NGEN
443,C60.572,NGEN
444,C60.578,NGEN
445,C60.588,NGEN
446,C60.589,GEN
447,C60.616,NGEN
448,C60.619,NGEN
449,C60.623,NGEN
450,C60.633,NGEN
451,C60.635,NGEN
452,C60.646,NGEN
453,C60.665,NGEN
454,C60.679,GEN
455,C60.685,NGEN
456,C60.704,NGEN
457,C60.710,NGEN
458,C60.711,NGEN
459,C60.717,NGEN
460,C60.742,GEN
461,C60.745,NGEN
462,C60.746,NGEN
463,C60.749,NGEN
464,C60.752,NGEN
465,C60.766.1,NGEN
466,C60.784,NGEN
467,C60.791,GEN
468,C60.800,NGEN
469,C60.801,NGEN
470,C60.825,GEN
471,C60.827,NGEN
472,C60.829,NGEN
473,C60.831,NGEN
474,C60.833,NGEN
475,C60.842,NGEN
476,C60.863,NGEN
477,C60.875,NGEN
478,C60.880,NGEN
479,C60.892,NGEN
480,C60.894,NGEN
481,C60.913,GEN
482,C60.930,GEN
483,C60.931,NGEN
484,C60.934,NGEN
485,C60.947,NGEN
486,C60.951,NGEN
487,C60.960,NGEN
488,C60.972,NGEN
489,C60.986,NGEN
490,C60.1018,NGEN
491,C60.1020,NGEN
492,C60.1030,NGEN
493,C51.3,NGEN
494,C51.10,GEN
495,C51.14,NGEN
496,C51.21,NGEN
497,C51.25,GEN
498,C51.26,NGEN
499,C51.27.4,NGEN
500,C51.32,NGEN
501,C51.33,GEN
502,C51.35,GEN
503,C51.38,NGEN
504,C51.39.1,NGEN
505,C24.1623,NGEN
506,C24.1795,NGEN
507,C24.3392,NGEN
508,C24.3497,GEN
509,C8.121,NGEN
510,C8.404,GEN
511,C8.468,GEN
512,C8.491,GEN
513,C8.530,GEN
514,C8.615,NGEN
515,C8.905,NGEN
516,C8.955,NGEN
517,C8.1005,NGEN
518,C8.1304,NGEN
519,C8.1525.1,GEN
520,C8.1564,NGEN
521,C8.1612,NGEN
522,C8.2011,NGEN
523,C8.2117,NGEN
524,C8.2163.1,NGEN
525,C8.2209,GEN
526,C8.2639,NGEN
527,C8.2672,NGEN
528,C8.2702,NGEN
529,C8.2771,NGEN
530,C8.2773,GEN
531,C8.2907,GEN
532,C8.2941,GEN
533,C8.2948,NGEN
534,C8.3007,GEN
535,C8.3021,NGEN
536,C8.3275,NGEN
537,C8.3749,GEN
538,C8.3820,NGEN
539,C8.4085,NGEN
540,C8.4111,GEN
541,C8.4331,GEN
542,C8.4751,NGEN
543,C8.4827,NGEN
544,C8.4988,NGEN
545,C8.5110,NGEN
546,C8.5220,GEN
547,C8.5286,GEN
548,C8.5314,GEN
549,C8.5330,GEN
550,C8.5481,NGEN
551,C8.5579,NGEN
552,C8.5714,GEN
553,C8.5801,GEN
554,C8.5929,NGEN
555,C8.5976,GEN
556,C8.6042,GEN
557,C8.6203,NGEN
558,C8.6370,NGEN
559,C8.6417,NGEN
560,C8.6425,NGEN
561,C8.6581,GEN
562,C8.6638,GEN
563,C8.6699,NGEN
564,C8.6715,GEN
565,C8.6743,NGEN
566,C8.6811,GEN
567,C8.6873,NGEN
568,C8.7044,GEN
569,C8.7176,NGEN
570,C8.7213,GEN
571,C8.7239,GEN
572,C8.7279,NGEN
573,C8.7353,NGEN
574,C8.7405,NGEN
575,C8.7446,NGEN
576,C8.7465,GEN
577,C8.7705,NGEN
578,C8.7735,NGEN
579,C8.7795,NGEN
580,C8.7842,NGEN
581,C8.7924,NGEN
582,C8.8005.1,GEN
583,C8.8053,GEN
584,C8.8089,NGEN
585,C8.8285,NGEN
586,C8.8304,GEN
587,C8.8321,GEN
588,C8.8322,GEN
589,C8.8405,NGEN
590,C8.8616,NGEN
591,C8.8633,GEN
592,C8.8743,NGEN
593,C8.8756,NGEN
594,C8.9278,NGEN
595,C8.9327,NGEN
596,C8.9757,NGEN
597,C8.9767.1,NGEN
598,C8.9789,NGEN
599,C8.9793,NGEN
600,C8.9864,GEN
601,C8.9884,GEN
602,C8.9994,NGEN
603,C8.10977,NGEN
604,C8.11045,NGEN
605,C8.11242,NGEN
606,C8.11505,NGEN
607,C8.11674,NGEN
608,C8.11786,NGEN
609,C8.11977,NGEN
610,C8.11982,GEN
611,C8.12098,NGEN
612,C8.12273,GEN
613,C8.12274,GEN
614,C8.12275,GEN
615,C8.12276,GEN
616,C8.12277,GEN
617,C8.12278,GEN
618,C8.12415,NGEN
619,C8.12598,GEN
620,C8.12709,NGEN
621,C8.12787,GEN
622,C8.13739,GEN
623,C8.13883,NGEN
624,C8.13998,NGEN
625,C8.14732,NGEN
626,C8.14742,GEN
627,C8.14842,NGEN
628,C8.14888,GEN
629,C8.15033,NGEN
630,C8.15219.2,NGEN
631,C8.16623,NGEN
632,C8.16658,GEN
633,C48.1,NGEN
634,C48.2,GEN
635,C48.4,NGEN
636,C48.7,GEN
637,C48.7.2,GEN
638,C48.8,GEN
639,C48.9,GEN
640,C48.10,NGEN
641,C48.12,NGEN
642,C48.13,GEN
643,C48.14,GEN
644,C48.15,GEN
645,C48.17,GEN
646,C48.18,GEN
647,C48.21,GEN
648,C48.22,GEN
649,C48.23,GEN
650,C48.24,GEN
651,C48.25,GEN
652,C48.26,GEN
653,C48.30,NGEN
654,C48.33,NGEN
655,C48.35,GEN
656,C48.37,NGEN
657,C48.38,GEN
658,C48.42,NGEN
659,C6.497,NGEN
660,C6.828,NGEN
661,C6.830,NGEN
662,C6.1015,NGEN
663,C6.1577,GEN
664,C6.2362,NGEN
665,C6.2445,NGEN
666,C6.2641,NGEN
667,C6.2683,NGEN
668,C6.2904,NGEN
669,C6.3317,NGEN
670,C6.3654,NGEN
671,C6.3713,GEN
672,C6.3970,NGEN
673,C6.4034,NGEN
674,C6.4042,NGEN
675,C17.33,NGEN
676,C50.1,NGEN
677,C50.3,NGEN
678,C50.4,NGEN
679,C50.7,NGEN
680,C50.8,NGEN
681,C50.13,NGEN
682,C50.14,GEN
683,C50.15,NGEN
684,C50.15.1,NGEN
685,C50.16,NGEN
686,C50.20,NGEN
687,C3.113.1,NGEN
688,C35.53.1,NGEN
689,C54.1,NGEN
690,C54.2,GEN
691,C54.3,NGEN
692,C54.4,GEN
693,C54.5,NGEN
694,C54.10,GEN
695,C54.10.1,NGEN
696,C54.12.1,NGEN
697,C54.12.2,NGEN
698,C54.13,NGEN
699,C54.16,GEN
700,C54.21,NGEN
701,C54.22,GEN
702,C54.23,NGEN
703,C54.30,NGEN
704,C54.31,NGEN
705,C54.34,NGEN
706,C54.34.1,NGEN
707,C54.36,NGEN
708,C54.37,NGEN
709,C54.40,GEN
710,C54.44,NGEN
711,C54.44.2,NGEN
712,C54.45,NGEN
713,C54.46,GEN
714,C54.46.1,NGEN
715,C54.47,GEN
716,C54.52,NGEN
717,C54.54,GEN
718,C54.58,GEN
719,C54.61,GEN
720,C54.61.3,NGEN
721,C54.63,NGEN
722,C54.63.1,NGEN
723,C54.64,NGEN
724,C54.64.2,GEN
725,C54.65,NGEN
726,C54.67,NGEN
727,C54.68,NGEN
728,C54.69,NGEN
729,C16.58,GEN
730,C16.89,NGEN
731,C16.107,GEN
732,C16.185,NGEN
733,C16.345.1,NGEN
734,C16.393,NGEN
735,C16.439,NGEN
736,C60.343,NGEN
737,C60.350,NGEN
738,C60.351.1,NGEN
739,C60.356,NGEN
740,C60.358,NGEN
741,C60.361,NGEN
742,C60.363,NGEN
743,C60.364,NGEN
744,C60.365,NGEN
745,C60.374,NGEN
746,C60.375,NGEN
747,C60.376,NGEN
748,C60.377,NGEN
749,C60.379,NGEN
750,C60.380,NGEN
751,C60.381,NGEN
752,C60.382,NGEN
753,C60.385,NGEN
754,C60.386,NGEN
755,C60.387,NGEN
756,C60.388,NGEN
757,C60.390,NGEN
758,C60.391,NGEN
759,C60.392,NGEN
760,C60.393,NGEN
761,C60.395,NGEN
762,C60.397,NGEN
763,C60.399,NGEN
764,C60.401,NGEN
765,C60.402,NGEN
766,C60.404.1,NGEN
767,C60.405,NGEN
768,C60.407,NGEN
769,C60.409,NGEN
770,C60.411,NGEN
771,C60.412,NGEN
772,C60.415,NGEN
773,C60.416,NGEN
774,C60.417,NGEN
775,C60.418,NGEN
776,C60.419,NGEN
777,C60.420,NGEN
778,C60.421,NGEN
779,C60.422,NGEN
780,C60.423,NGEN
781,C60.427,NGEN
782,C60.429,NGEN
783,C60.429.1,NGEN
784,C60.431,NGEN
785,C60.432.2,NGEN
786,C60.432.4,NGEN
787,C60.433,NGEN
788,C60.437,NGEN
789,C60.438,GEN
790,C60.440,NGEN
791,C60.442,NGEN
792,C60.443,NGEN
793,C60.444,NGEN
794,C60.445,NGEN
795,C60.446,NGEN
796,C60.447,NGEN
797,C60.449,NGEN
798,C60.451,NGEN
799,C60.453,NGEN
800,C60.454,NGEN
801,C60.458,NGEN
802,C60.459,NGEN
803,C60.460,NGEN
804,C60.462,NGEN
805,C60.463,NGEN
806,C60.467,NGEN
807,C60.470,NGEN
808,C60.476,NGEN
809,C60.477,NGEN
810,C60.480,NGEN
811,C60.485,NGEN
812,C60.488,NGEN
813,C60.489,NGEN
814,C60.492,NGEN
815,C60.493,NGEN
816,C60.494,GEN
817,C60.497,NGEN
818,C60.498,NGEN
819,C60.501,NGEN
820,C60.504,NGEN
821,C60.505,NGEN
822,C60.507,NGEN
823,C60.508,NGEN
824,C60.511,NGEN
825,C60.512,NGEN
826,C60.514,NGEN
827,C60.515,NGEN
828,C60.516,NGEN
829,C60.517,NGEN
830,C60.518,NGEN
831,C60.521,NGEN
832,C60.524,NGEN
833,C60.529,NGEN
834,C60.530,NGEN
835,C60.532,NGEN
836,C60.534,NGEN
837,C60.536,NGEN
838,C60.541,NGEN
839,C60.545,NGEN
840,C60.549,NGEN
841,C60.550,NGEN
842,C60.551,NGEN
843,C60.555,NGEN
844,C60.556,NGEN
845,C60.558,NGEN
846,C60.561,NGEN
847,C60.562,NGEN
848,C60.563,NGEN
849,C60.564,NGEN
850,C60.565,NGEN
851,C60.568,NGEN
852,C60.570,NGEN
853,C60.573,NGEN
854,C60.575,NGEN
855,C60.577,NGEN
856,C60.579,NGEN
857,C60.580,NGEN
858,C60.582,NGEN
859,C60.583,NGEN
860,C60.584,NGEN
861,C60.590,NGEN
862,C60.592,NGEN
863,C60.593,GEN
864,C60.594,NGEN
865,C60.595,NGEN
866,C60.597,NGEN
867,C60.598,NGEN
868,C60.599,NGEN
869,C60.601,GEN
870,C60.602,NGEN
871,C60.603,NGEN
872,C60.604,NGEN
873,C60.605,NGEN
874,C60.608,NGEN
875,C60.609,NGEN
876,C60.610,NGEN
877,C60.611,NGEN
878,C60.613,NGEN
879,C60.614,NGEN
880,C60.615,NGEN
881,C60.617,NGEN
882,C60.618,NGEN
883,C60.620,NGEN
884,C60.622,NGEN
885,C60.624,NGEN
886,C60.626,NGEN
887,C60.627,NGEN
888,C60.628,NGEN
889,C60.629,NGEN
890,C60.630,NGEN
891,C60.631,NGEN
892,C60.632,NGEN
893,C60.634,NGEN
894,C60.636,NGEN
895,C60.637,NGEN
896,C60.637.4,NGEN
897,C60.637.5,NGEN
898,C60.639,NGEN
899,C60.642,NGEN
900,C60.645,NGEN
901,C60.647,NGEN
902,C60.648,NGEN
903,C60.649,NGEN
904,C60.650,NGEN
905,C60.651,NGEN
906,C60.652,NGEN
907,C60.653,NGEN
908,C60.654,NGEN
909,C60.656,NGEN
910,C60.657,NGEN
911,C60.658,NGEN
912,C60.659,NGEN
913,C60.660,NGEN
914,C60.661,NGEN
915,C60.662,NGEN
916,C60.663,NGEN
917,C60.666,NGEN
918,C60.668,NGEN
919,C60.669,NGEN
920,C60.670,NGEN
921,C60.671,NGEN
922,C60.672,NGEN
923,C60.673,NGEN
924,C60.675,NGEN
925,C60.676,NGEN
926,C60.677,NGEN
927,C60.678,GEN
928,C60.680,NGEN
929,C60.682,NGEN
930,C60.684,NGEN
931,C60.686,NGEN
932,C60.687,NGEN
933,C60.688,NGEN
934,C60.690,NGEN
935,C60.691,NGEN
936,C60.692,NGEN
937,C60.695,NGEN
938,C60.696,NGEN
939,C60.697,NGEN
940,C60.699,NGEN
941,C60.699.1,NGEN
942,C60.699.3,NGEN
943,C60.699.4,NGEN
944,C60.700,NGEN
945,C60.701,NGEN
946,C60.702,NGEN
947,C60.703,NGEN
948,C60.705,NGEN
949,C60.707,NGEN
950,C60.709,NGEN
951,C60.712,NGEN
952,C60.716,NGEN
953,C60.716.1,NGEN
954,C60.718,NGEN
955,C60.719,NGEN
956,C60.720,NGEN
957,C60.722,NGEN
958,C60.723,NGEN
959,C60.724,NGEN
960,C60.724.1,NGEN
961,C60.725,NGEN
962,C60.726,NGEN
963,C60.727,NGEN
964,C60.730,NGEN
965,C60.731,NGEN
966,C60.733,NGEN
967,C60.734,NGEN
968,C60.736,NGEN
969,C60.738,NGEN
970,C60.739,NGEN
971,C60.743,NGEN
972,C60.747,NGEN
973,C60.748,NGEN
974,C60.751,NGEN
975,C60.753,NGEN
976,C60.754,NGEN
977,C60.755,NGEN
978,C60.756,NGEN
979,C60.757,NGEN
980,C60.758,NGEN
981,C60.760,NGEN
982,C60.761,NGEN
983,C60.762,NGEN
984,C60.763,NGEN
985,C60.763.1,GEN
986,C60.765,NGEN
987,C60.767,NGEN
988,C60.768,NGEN
989,C60.769,NGEN
990,C60.770,NGEN
991,C60.770.1,NGEN
992,C60.772,NGEN
993,C60.773,NGEN
994,C60.775,NGEN
995,C60.776,NGEN
996,C60.780,NGEN
997,C60.781,NGEN
998,C60.782,NGEN
999,C60.783,NGEN
1000,C60.785,NGEN
1001,C60.786,NGEN
1002,C60.788,NGEN
1003,C60.789,NGEN
1004,C60.790,GEN
1005,C60.792,NGEN
1006,C60.793,NGEN
1007,C60.795,NGEN
1008,C60.796,NGEN
1009,C60.797,NGEN
1010,C60.798,NGEN
1011,C60.804,NGEN
1012,C60.804.1,NGEN
1013,C60.805,NGEN
1014,C60.806,NGEN
1015,C60.807,NGEN
1016,C60.808,NGEN
1017,C60.809,NGEN
1018,C60.810,NGEN
1019,C60.811,NGEN
1020,C60.813,NGEN
1021,C60.814,NGEN
1022,C60.815,NGEN
1023,C60.816,NGEN
1024,C60.818,NGEN
1025,C60.819,NGEN
1026,C60.822,NGEN
1027,C60.823,NGEN
1028,C60.824,NGEN
1029,C60.826,NGEN
1030,C60.828,NGEN
1031,C60.830,NGEN
1032,C60.832,NGEN
1033,C60.835,NGEN
1034,C60.836,NGEN
1035,C60.837,NGEN
1036,C60.838,NGEN
1037,C60.839,NGEN
1038,C60.840,NGEN
1039,C60.841,NGEN
1040,C60.843,NGEN
1041,C60.844,NGEN
1042,C60.845,NGEN
1043,C60.846,NGEN
1044,C60.847,NGEN
1045,C60.850,NGEN
1046,C60.851,NGEN
1047,C60.852,GEN
1048,C60.853,NGEN
1049,C60.854,NGEN
1050,C60.855,NGEN
1051,C60.856,NGEN
1052,C60.857,NGEN
1053,C60.858,NGEN
1054,C60.859,NGEN
1055,C60.860,NGEN
1056,C60.861,NGEN
1057,C60.862,NGEN
1058,C60.864,NGEN
1059,C60.865,NGEN
1060,C60.868,NGEN
1061,C60.869,NGEN
1062,C60.870,NGEN
1063,C60.871,NGEN
1064,C60.874,NGEN
1065,C60.875.1,NGEN
1066,C60.876,NGEN
1067,C60.877,NGEN
1068,C60.878,NGEN
1069,C60.879,NGEN
1070,C60.882,NGEN
1071,C60.883,NGEN
1072,C60.884,NGEN
1073,C60.886,NGEN
1074,C60.887,NGEN
1075,C60.888,NGEN
1076,C60.891,NGEN
1077,C60.895,NGEN
1078,C60.896.1,NGEN
1079,C60.897,NGEN
1080,C60.898,NGEN
1081,C60.899,NGEN
1082,C60.900,NGEN
1083,C60.902,NGEN
1084,C60.904,GEN
1085,C60.905,NGEN
1086,C60.906,NGEN
1087,C60.907,NGEN
1088,C60.908,NGEN
1089,C60.909,NGEN
1090,C60.910,NGEN
1091,C60.911,NGEN
1092,C60.914,NGEN
1093,C60.915,NGEN
1094,C60.916,NGEN
1095,C60.917,NGEN
1096,C60.918,NGEN
1097,C60.920,NGEN
1098,C60.921,NGEN
1099,C60.922,NGEN
1100,C60.923,NGEN
1101,C60.924,NGEN
1102,C60.925,NGEN
1103,C60.925.1,NGEN
1104,C60.926,NGEN
1105,C60.927,NGEN
1106,C60.928,NGEN
1107,C60.929,NGEN
1108,C60.932,NGEN
1109,C60.932.1,NGEN
1110,C60.933,NGEN
1111,C60.935,NGEN
1112,C60.936,GEN
1113,C60.937,NGEN
1114,C60.938,NGEN
1115,C60.939,NGEN
1116,C60.942,NGEN
1117,C60.943,NGEN
1118,C60.945,NGEN
1119,C60.946,NGEN
1120,C60.949,NGEN
1121,C60.950,NGEN
1122,C60.953,NGEN
1123,C60.954,NGEN
1124,C60.955,NGEN
1125,C60.957,NGEN
1126,C60.958,NGEN
1127,C60.959,NGEN
1128,C60.961,NGEN
1129,C60.963,NGEN
1130,C60.964,NGEN
1131,C60.967,NGEN
1132,C60.968,NGEN
1133,C60.969,NGEN
1134,C60.970,NGEN
1135,C60.971,NGEN
1136,C60.973,NGEN
1137,C60.974,NGEN
1138,C60.975,NGEN
